index	name	color
1	7Networks_LH_Vis_1	#781184
2	7Networks_LH_Vis_2	#781185
3	7Networks_LH_Vis_3	#781186
4	7Networks_LH_Vis_4	#78127f
5	7Networks_LH_Vis_5	#781280
6	7Networks_LH_Vis_6	#781281
7	7Networks_LH_Vis_7	#781282
8	7Networks_LH_Vis_8	#781283
9	7Networks_LH_Vis_9	#781284
10	7Networks_LH_Vis_10	#781285
11	7Networks_LH_Vis_11	#781287
12	7Networks_LH_Vis_12	#781288
13	7Networks_LH_Vis_13	#781289
14	7Networks_LH_Vis_14	#78128a
15	7Networks_LH_Vis_15	#78128b
16	7Networks_LH_Vis_16	#78128c
17	7Networks_LH_Vis_17	#78128d
18	7Networks_LH_Vis_18	#781386
19	7Networks_LH_Vis_19	#781387
20	7Networks_LH_Vis_20	#781388
21	7Networks_LH_Vis_21	#781389
22	7Networks_LH_Vis_22	#78138a
23	7Networks_LH_Vis_23	#78138b
24	7Networks_LH_Vis_24	#78138c
25	7Networks_LH_SomMot_1	#4681af
26	7Networks_LH_SomMot_2	#4681b0
27	7Networks_LH_SomMot_3	#4681b1
28	7Networks_LH_SomMot_4	#4681b2
29	7Networks_LH_SomMot_5	#4681b3
30	7Networks_LH_SomMot_6	#4681b4
31	7Networks_LH_SomMot_7	#4682ad
32	7Networks_LH_SomMot_8	#4682ae
33	7Networks_LH_SomMot_9	#4682af
34	7Networks_LH_SomMot_10	#4682b0
35	7Networks_LH_SomMot_11	#4682b1
36	7Networks_LH_SomMot_12	#4682b2
37	7Networks_LH_SomMot_13	#4682b3
38	7Networks_LH_SomMot_14	#4682b5
39	7Networks_LH_SomMot_15	#4682b6
40	7Networks_LH_SomMot_16	#4682b7
41	7Networks_LH_SomMot_17	#4682b8
42	7Networks_LH_SomMot_18	#4682b9
43	7Networks_LH_SomMot_19	#4682ba
44	7Networks_LH_SomMot_20	#4682bb
45	7Networks_LH_SomMot_21	#4683b4
46	7Networks_LH_SomMot_22	#4683b5
47	7Networks_LH_SomMot_23	#4683b6
48	7Networks_LH_SomMot_24	#4683b7
49	7Networks_LH_SomMot_25	#4683b8
50	7Networks_LH_SomMot_26	#4683b9
51	7Networks_LH_SomMot_27	#4683ba
52	7Networks_LH_SomMot_28	#4683bb
53	7Networks_LH_SomMot_29	#4684b4
54	7Networks_LH_DorsAttn_Post_1	#00760a
55	7Networks_LH_DorsAttn_Post_2	#00760b
56	7Networks_LH_DorsAttn_Post_3	#00760c
57	7Networks_LH_DorsAttn_Post_4	#00760d
58	7Networks_LH_DorsAttn_Post_5	#00760f
59	7Networks_LH_DorsAttn_Post_6	#007610
60	7Networks_LH_DorsAttn_Post_7	#007611
61	7Networks_LH_DorsAttn_Post_8	#007612
62	7Networks_LH_DorsAttn_Post_9	#007613
63	7Networks_LH_DorsAttn_Post_10	#007614
64	7Networks_LH_DorsAttn_Post_11	#007615
65	7Networks_LH_DorsAttn_Post_12	#00770e
66	7Networks_LH_DorsAttn_FEF_1	#007616
67	7Networks_LH_DorsAttn_FEF_2	#00770f
68	7Networks_LH_DorsAttn_FEF_3	#007710
69	7Networks_LH_DorsAttn_PrCv_1	#007711
70	7Networks_LH_SalVentAttn_ParOper_1	#c43afb
71	7Networks_LH_SalVentAttn_ParOper_2	#c43afc
72	7Networks_LH_SalVentAttn_ParOper_3	#c43afd
73	7Networks_LH_SalVentAttn_TempOcc_1	#c43afe
74	7Networks_LH_SalVentAttn_FrOper_1	#c43bf8
75	7Networks_LH_SalVentAttn_FrOper_2	#c43bf9
76	7Networks_LH_SalVentAttn_FrOper_3	#c43bfb
77	7Networks_LH_SalVentAttn_FrOper_4	#c43bfc
78	7Networks_LH_SalVentAttn_FrOper_5	#c43bfd
79	7Networks_LH_SalVentAttn_FrOper_6	#c43bfe
80	7Networks_LH_SalVentAttn_FrOper_7	#c43bff
81	7Networks_LH_SalVentAttn_PFCl_1	#c134f9
82	7Networks_LH_SalVentAttn_Med_1	#c53afb
83	7Networks_LH_SalVentAttn_Med_2	#c53afc
84	7Networks_LH_SalVentAttn_Med_3	#c53afd
85	7Networks_LH_SalVentAttn_Med_4	#c53afe
86	7Networks_LH_Limbic_OFC_1	#dcf8a5
87	7Networks_LH_Limbic_OFC_2	#dcf8a6
88	7Networks_LH_Limbic_OFC_3	#dcf8a7
89	7Networks_LH_Limbic_TempPole_1	#dcf8a3
90	7Networks_LH_Limbic_TempPole_2	#dcf8a4
91	7Networks_LH_Limbic_TempPole_3	#dcf8a8
92	7Networks_LH_Limbic_TempPole_4	#dcf8a9
93	7Networks_LH_Limbic_TempPole_5	#dcf8aa
94	7Networks_LH_Limbic_TempPole_6	#dcf8ab
95	7Networks_LH_Limbic_TempPole_7	#dcf8ac
96	7Networks_LH_Cont_Par_1	#e69423
97	7Networks_LH_Cont_Par_2	#e69424
98	7Networks_LH_Cont_Par_3	#e69425
99	7Networks_LH_Cont_Par_4	#e69426
100	7Networks_LH_Cont_Temp_1	#e69427
101	7Networks_LH_Cont_PFCl_1	#e69521
102	7Networks_LH_Cont_PFCl_2	#e69522
103	7Networks_LH_Cont_PFCl_3	#e69524
104	7Networks_LH_Cont_PFCl_4	#e69525
105	7Networks_LH_Cont_PFCl_5	#e69526
106	7Networks_LH_Cont_PFCl_6	#e69527
107	7Networks_LH_Cont_PFCl_7	#e69528
108	7Networks_LH_Cont_pCun_1	#e79523
109	7Networks_LH_Cont_pCun_2	#e79524
110	7Networks_LH_Cont_Cing_1	#e79525
111	7Networks_LH_Cont_Cing_2	#e79526
112	7Networks_LH_Cont_PFCmp_1	#e69422
113	7Networks_LH_Default_Temp_1	#cd3e4b
114	7Networks_LH_Default_Temp_2	#cd3e4c
115	7Networks_LH_Default_Temp_3	#cd3e4d
